38
26.95 27.05 0.
27.05 27.15 0.0033079
27.15 27.25 0.000149094
27.25 27.35 0.0038177
27.35 27.45 0.000571601
27.45 27.55 0.0008021
27.55 27.65 0.0038659
27.65 27.75 0.0025441
27.75 27.85 0.0011307
27.85 27.95 0.0056127
27.95 28.05 0.00394923
28.05 28.15 0.00810967
28.15 28.25 0.0060451
28.25 28.35 0.00368396
28.35 28.45 0.00381525
28.45 28.55 0.00418732
28.55 28.65 0.00474852
28.65 28.75 0.00196513
28.75 28.85 0.000707359
28.85 28.95 0.0010163
28.95 29.05 0.00174487
29.05 29.15 0.00038072
29.15 29.25 0.00074587
29.25 29.35 0.00291424
29.35 29.45 0.00040394
29.45 29.55 0.00282001
29.55 29.65 0.00159769
29.65 29.75 0.000568053
29.75 29.85 0.000780498
29.85 29.95 0.00036941
29.95 30.05 0.000216722
30.05 30.15 0.000359968
30.15 30.25 0.000644291
30.25 30.35 0.000331653
30.35 30.45 0.000489803
30.45 30.55 4.27192e-05
30.55 30.65 7.08422e-06
30.65 31.05 1.02167e-06
