 igrf85
 10  6371.2 1985.0
   1  0  -29877.       0.
   1  1   -1903.    5497.
   2  0   -2073.       0.
   2  1    3045.   -2191.
   2  2    1691.    -309.
   3  0    1300.       0.
   3  1   -2208.    -312.
   3  2    1244.     284.
   3  3     835.    -296.
   4  0     937.       0.
   4  1     780.     233.
   4  2     363.    -250.
   4  3    -426.      68.
   4  4     169.    -298.
   5  0    -215.       0.
   5  1     356.      47.
   5  2     253.     148.
   5  3     -94.    -155.
   5  4    -161.     -75.
   5  5     -48.      95.
   6  0      52.       0.
   6  1      65.     -16.
   6  2      50.      90.
   6  3    -186.      69.
   6  4       4.     -50.
   6  5      17.      -4.
   6  6    -102.      20.
   7  0      75.       0.
   7  1     -61.     -82.
   7  2       2.     -26.
   7  3      24.      -1.
   7  4      -6.      23.
   7  5       4.      17.
   7  6       9.     -21.
   7  7       0.      -6.
   8  0      21.       0.
   8  1       6.       7.
   8  2       0.     -21.
   8  3     -11.       5.
   8  4      -9.     -25.
   8  5       2.      11.
   8  6       4.      12.
   8  7       4.     -16.
   8  8      -6.     -10.
   9  0       5.       0.
   9  1      10.     -21.
   9  2       1.      16.
   9  3     -12.       9.
   9  4       9.      -5.
   9  5      -3.      -6.
   9  6      -1.       9.
   9  7       7.      10.
   9  8       2.      -6.
   9  9      -5.       2.
  10  0      -4.       0.
  10  1      -4.       1.
  10  2       2.       0.
  10  3      -5.       3.
  10  4      -2.       6.
  10  5       5.      -4.
  10  6       3.       0.
  10  7       1.      -1.
  10  8       2.       4.
  10  9       3.       0.
  10 10       0.      -6.
